true_date,price,USD_to_LKR,weather_cat,crop_cat,region,grade,elevation
2021-01-06,730.0,189.0696,Rainy,Maintained,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-01-13,700.0,197.5241,Mixed,Decline,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-01-20,760.0,188.6854,Rainy,Maintained,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-01-27,710.0,188.6854,Rainy,Maintained,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-02-03,660.0,193.9604,Mixed,Maintained,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-02-10,770.0,194.4061,Mixed,Decline,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-02-17,730.0,193.5044,Mixed,Decline,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-02-24,680.0,195.8167,Mixed,Maintained,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-03-03,800.0,198.7859,Mixed,Increase,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-03-10,620.0,195.5257,Bright,Maintained,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-03-17,760.0,198.462,Mixed,Increase,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-03-24,760.0,199.0263,Mixed,Increase,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-03-31,750.0,196.6476,Mixed,Maintained,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-04-07,750.0,193.6376,Mixed,Increase,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-04-14,770.0,195.0656,Mixed,Increase,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-04-21,770.0,200.06,Bright,Slight Decline,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-04-28,805.0,200.06,Bright,Slight Decline,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-05-05,840.0,196.6469,Mixed,Increase,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-05-12,720.0,197.0089,Mixed,Slight Decline,UDAPUSSELLAWAS,FBOP/FBOP1,High
2021-05-19,750.0,197.0191,Mixed,Maintained,UDAPUSSELLAWAS,FBOP/FBOP1,High
